[2026-04-26 19:50:01 UTC] | ORDER_PLACED | BTCUSD | RG1 | qty=0.000128 mode=live
[2026-04-26 21:33:15 UTC] | SIM_LOSS | BTCUSD | RG1 | price=78081.3584 entry=78221.0 sl=78103.67 tp=86033.5 pnl=-0.0179
[2026-04-26 21:57:00 UTC] | ORDER_PLACED | ETHUSD | RG2 | qty=0.00423 mode=live
[2026-04-26 21:58:16 UTC] | SIM_LOSS | ETHUSD | RG2 | price=2355.572 entry=2364.22 sl=2357.13 tp=2600.6266193853426 pnl=-0.0366
[2026-04-27 01:40:02 UTC] | ORDER_PLACED | ETHUSD | RG2 | qty=0.004189 mode=live
[2026-04-27 02:53:00 UTC] | ORDER_PLACED | AVAXUSD | TREND | qty=1.04712 mode=live
[2026-04-27 03:43:02 UTC] | ORDER_PLACED | ETHUSD | RG2 | qty=0.004171 mode=live
[2026-04-27 04:32:15 UTC] | ORDER_PLACED | AVAXUSD | RG2 | qty=1.05042 mode=live
[2026-04-27 04:32:16 UTC] | SIM_LOSS | ETHUSD | RG2 | price=2389.7 entry=2397.33 sl=2390.14 tp=2637.080659314313 pnl=-0.0318
[2026-04-27 04:44:16 UTC] | SIM_LOSS | AVAXUSD | RG2 | price=9.49 entry=9.52 sl=9.49 tp=10.472000152320025 pnl=-0.0315
[2026-04-27 06:19:00 UTC] | ORDER_PLACED | BTCUSD | SMC | qty=0.000129 mode=live
[2026-04-27 06:19:02 UTC] | SIM_LOSS | ETHUSD | RG2 | price=2323.89 entry=2364.22 sl=2357.13 tp=2600.6266193853426 pnl=-0.1706
[2026-04-27 06:19:02 UTC] | SIM_LOSS | AVAXUSD | TREND | price=9.27 entry=9.55 sl=9.41 tp=10.505000382000153 pnl=-0.2932
[2026-04-27 06:30:40 UTC] | REJECTED | BTCUSD | RG2 | insufficient balance for BTC (requested: 0.000129, available: 0.000128677)
[2026-04-27 06:31:00 UTC] | SIM_LOSS | BTCUSD | SMC | price=77657.2 entry=77807.28 sl=77669.55 tp=85559.21798449612 pnl=-0.0194
[2026-04-27 06:31:32 UTC] | ERROR | BNBUSD | RG2 | asset "BNBUSD" not found
[2026-04-27 06:32:05 UTC] | REJECTED | XRPUSD | RG2 | insufficient balance for XRP (requested: 7.058159, available: 0)
[2026-04-27 06:32:05 UTC] | ORDER_PLACED | AVAXUSD | RG2 | qty=1.081081 mode=live
[2026-04-27 06:32:39 UTC] | REJECTED | SOLUSD | RG2 | insufficient balance for SOL (requested: 0.116537, available: 0)
[2026-04-27 06:32:39 UTC] | ORDER_PLACED | ETHUSD | RG2 | qty=0.004318 mode=live
[2026-04-27 06:49:35 UTC] | SIM_LOSS | ETHUSD | RG2 | price=2324.3 entry=2315.68 sl=2322.63 tp=2084.091301528485 pnl=-0.0372
[2026-04-27 07:02:34 UTC] | REJECTED | ETHUSD | RG2 | insufficient balance for ETH (requested: 0.004308, available: 0.004021099)
[2026-04-27 07:09:02 UTC] | SIM_LOSS | AVAXUSD | RG2 | price=9.28189 entry=9.25 sl=9.28 tp=8.324999930624994 pnl=-0.0345
[2026-04-27 07:09:35 UTC] | REJECTED | AVAXUSD | RG2 | insufficient balance for AVAX (requested: 1.082251, available: 1.01121515)
[2026-04-27 07:33:25 UTC] | REJECTED | BTCUSD | RG2 | insufficient balance for BTC (requested: 0.000129, available: 0.000128677)
[2026-04-27 07:59:33 UTC] | REJECTED | ETHUSD | RG2 | insufficient balance for ETH (requested: 0.004316, available: 0.004021099)
[2026-04-27 07:59:33 UTC] | ERROR | SOLUSD | RG2 | circuito alpaca abierto
[2026-04-27 08:00:17 UTC] | ERROR | AVAXUSD | RG2 | circuito alpaca abierto
[2026-04-27 08:00:23 UTC] | ERROR | AVAXUSD | RG2 | circuito alpaca abierto
[2026-04-27 08:00:28 UTC] | ERROR | AVAXUSD | RG2 | circuito alpaca abierto
[2026-04-27 08:00:34 UTC] | ERROR | AVAXUSD | RG2 | circuito alpaca abierto
[2026-04-27 08:01:00 UTC] | ERROR | XRPUSD | RG2 | circuito alpaca abierto
[2026-04-27 08:01:00 UTC] | ERROR | BNBUSD | RG2 | circuito alpaca abierto
[2026-04-27 08:01:05 UTC] | ERROR | XRPUSD | RG2 | circuito alpaca abierto
[2026-04-27 08:01:05 UTC] | ERROR | BNBUSD | RG2 | circuito alpaca abierto
[2026-04-27 08:01:11 UTC] | ERROR | XRPUSD | RG2 | circuito alpaca abierto
[2026-04-27 08:01:11 UTC] | ERROR | BNBUSD | RG2 | circuito alpaca abierto
[2026-04-27 08:01:16 UTC] | ERROR | XRPUSD | RG2 | circuito alpaca abierto
[2026-04-27 08:01:16 UTC] | ERROR | BNBUSD | RG2 | circuito alpaca abierto
[2026-04-27 08:28:31 UTC] | REJECTED | AVAXUSD | SMC | insufficient balance for AVAX (requested: 1.083424, available: 1.01121515)
[2026-04-27 08:28:58 UTC] | ERROR | XRPUSD | RG2 | circuito alpaca abierto
[2026-04-27 08:29:04 UTC] | ERROR | XRPUSD | RG2 | circuito alpaca abierto
[2026-04-27 08:29:10 UTC] | ERROR | XRPUSD | RG2 | circuito alpaca abierto
[2026-04-27 08:29:15 UTC] | ERROR | XRPUSD | RG2 | circuito alpaca abierto
[2026-04-27 08:36:35 UTC] | ERROR | BNBUSD | SMC | asset "BNBUSD" not found
[2026-04-27 08:41:26 UTC] | REJECTED | BTCUSD | RG2 | insufficient balance for BTC (requested: 0.000129, available: 0.000128677)
[2026-04-27 09:21:32 UTC] | REJECTED | BTCUSD | RG2 | insufficient balance for BTC (requested: 0.000129, available: 0.000128677)
[2026-04-27 09:22:59 UTC] | ERROR | SOLUSD | RG2 | circuito alpaca abierto
[2026-04-27 09:23:00 UTC] | ERROR | ETHUSD | RG2 | circuito alpaca abierto
[2026-04-27 09:23:03 UTC] | ERROR | XRPUSD | RG2 | circuito alpaca abierto
[2026-04-27 09:23:04 UTC] | ERROR | SOLUSD | RG2 | circuito alpaca abierto
[2026-04-27 09:23:06 UTC] | ERROR | ETHUSD | RG2 | circuito alpaca abierto
[2026-04-27 09:23:09 UTC] | ERROR | XRPUSD | RG2 | circuito alpaca abierto
[2026-04-27 09:23:10 UTC] | ERROR | SOLUSD | RG2 | circuito alpaca abierto
[2026-04-27 09:23:11 UTC] | ERROR | ETHUSD | RG2 | circuito alpaca abierto
[2026-04-27 09:23:14 UTC] | ERROR | XRPUSD | RG2 | circuito alpaca abierto
[2026-04-27 09:23:15 UTC] | ERROR | SOLUSD | RG2 | circuito alpaca abierto
[2026-04-27 09:23:17 UTC] | ERROR | ETHUSD | RG2 | circuito alpaca abierto
[2026-04-27 09:23:20 UTC] | ERROR | XRPUSD | RG2 | circuito alpaca abierto
[2026-04-27 09:25:30 UTC] | ERROR | BNBUSD | RG2 | asset "BNBUSD" not found
[2026-04-27 09:50:29 UTC] | REJECTED | XRPUSD | RG2 | insufficient balance for XRP (requested: 7.059654, available: 0)
[2026-04-27 09:58:33 UTC] | REJECTED | AVAXUSD | RG2 | insufficient balance for AVAX (requested: 1.081081, available: 1.01121515)
[2026-04-27 10:01:30 UTC] | REJECTED | XRPUSD | RG2 | insufficient balance for XRP (requested: 7.059156, available: 0)
[2026-04-27 10:03:59 UTC] | ORDER_PLACED | BTCUSD | RG2 | qty=0.000128 mode=live
[2026-04-27 10:04:27 UTC] | ERROR | BNBUSD | RG2 | asset "BNBUSD" not found
[2026-04-27 10:17:32 UTC] | REJECTED | SOLUSD | RG2 | insufficient balance for SOL (requested: 0.117178, available: 0)
[2026-04-27 10:25:29 UTC] | REJECTED | AVAXUSD | RG2 | insufficient balance for AVAX (requested: 1.081081, available: 1.01121515)
[2026-04-27 11:05:34 UTC] | REJECTED | ETHUSD | RG2 | insufficient balance for ETH (requested: 0.004312, available: 0.004021099)
[2026-04-27 11:35:27 UTC] | REJECTED | AVAXUSD | RG2 | insufficient balance for AVAX (requested: 1.081081, available: 1.01121515)
[2026-04-27 11:38:33 UTC] | REJECTED | ETHUSD | RG2 | insufficient balance for ETH (requested: 0.004313, available: 0.004021099)
[2026-04-27 11:38:59 UTC] | ERROR | BNBUSD | RG2 | circuito alpaca abierto
[2026-04-27 11:39:05 UTC] | ERROR | BNBUSD | RG2 | circuito alpaca abierto
[2026-04-27 11:39:10 UTC] | ERROR | BNBUSD | RG2 | circuito alpaca abierto
[2026-04-27 11:39:16 UTC] | ERROR | BNBUSD | RG2 | circuito alpaca abierto
