open_time_utc,close_time_utc,duration_sec,symbol,setup,side,entry,sl,tp,qty,leverage,close_price,pnl_usdt,outcome,risk_usdt,margin_usdt,notional_usdt,order_id,mode
2026-04-26 19:50:01,,,BTCUSD,RG1,BUY,78221.0,78103.67,86033.5,0.000128,alpaca,,,OPEN,1.0,,,2de82645-2e30-418a-b13a-535e717d4682,live
2026-04-26 19:50:01,2026-04-26 21:33:15,6194,BTCUSD,RG1,BUY,78221.0,78103.67,86033.5,0.000128,alpaca_paper_sim,78081.3584,-0.0179,LOSS,1.0,,,,sim_eval
2026-04-26 21:57:00,,,ETHUSD,RG2,BUY,2364.22,2357.13,2600.6266193853426,0.00423,alpaca,,,OPEN,1.0,,,3918e30e-12f6-4ea5-bb65-688316d34ea6,live
2026-04-26 21:57:00,2026-04-26 21:58:16,75,ETHUSD,RG2,BUY,2364.22,2357.13,2600.6266193853426,0.00423,alpaca_paper_sim,2355.572,-0.0366,LOSS,1.0,,,,sim_eval
2026-04-27 01:40:02,,,ETHUSD,RG2,BUY,2387.06,2379.9,2625.78045834328,0.004189,alpaca,,,OPEN,1.0,,,3a296588-d249-416e-9b0f-81a36a523b0e,live
2026-04-27 02:53:00,,,AVAXUSD,TREND,BUY,9.55,9.41,10.505000382000153,1.04712,alpaca,,,OPEN,1.0,,,c209c08e-8ccf-4a19-8e64-37469b94309b,live
2026-04-27 03:43:02,,,ETHUSD,RG2,BUY,2397.33,2390.14,2637.080659314313,0.004171,alpaca,,,OPEN,1.0,,,e9b2491d-a10b-409e-9815-274fda5c4bd0,live
2026-04-27 04:32:15,,,AVAXUSD,RG2,BUY,9.52,9.49,10.472000152320025,1.05042,alpaca,,,OPEN,1.0,,,d280cf13-4b16-4491-b26e-55dd9503ca58,live
2026-04-27 03:43:02,2026-04-27 04:32:16,2953,ETHUSD,RG2,BUY,2397.33,2390.14,2637.080659314313,0.004171,alpaca_paper_sim,2389.7,-0.0318,LOSS,1.0,,,,sim_eval
2026-04-27 04:32:15,2026-04-27 04:44:16,721,AVAXUSD,RG2,BUY,9.52,9.49,10.472000152320025,1.05042,alpaca_paper_sim,9.49,-0.0315,LOSS,1.0,,,,sim_eval
